,id,player_name,games_18,time_18,goals_18,xG_18,assists_18,xA_18,shots_18,key_passes_18,team_title_18,npg_18,npxG_18,league_18,games_17,time_17,goals_17,xG_17,assists_17,xA_17,shots_17,key_passes_17,team_title_17,npg_17,npxG_17,league_17,games_16,time_16,goals_16,xG_16,assists_16,xA_16,shots_16,key_passes_16,team_title_16,npg_16,npxG_16,league_16
185,458,Steve Cook,31.0,2788.0,1.0,1.461019336245954,1.0,1.14597000554204,21.0,11.0,Bournemouth,1.0,1.461019336245954,EPL,34.0,2761.0,2.0,1.3601032011210918,1.0,1.019623875617981,21.0,4.0,Bournemouth,2.0,1.3601032011210918,EPL,38.0,3420.0,2.0,1.6547151310369372,0.0,0.4837768152356148,29.0,3.0,Bournemouth,2.0,1.6547151310369372,EPL
186,459,Charlie Daniels,21.0,1587.0,1.0,0.6230836696922779,0.0,0.4582163458690047,12.0,11.0,Bournemouth,1.0,0.6230836696922779,EPL,35.0,3012.0,1.0,0.5691774720326066,3.0,2.483891710639,20.0,30.0,Bournemouth,1.0,0.5691774720326066,EPL,34.0,3060.0,4.0,1.6076876800507307,3.0,2.165623553097248,19.0,29.0,Bournemouth,4.0,1.6076876800507307,EPL
187,481,Jordon Ibe,19.0,799.0,1.0,0.775267081335187,1.0,0.41998661682009697,9.0,10.0,Bournemouth,1.0,0.775267081335187,EPL,32.0,2005.0,2.0,2.9314239975064997,6.0,3.7532155672088265,54.0,37.0,Bournemouth,2.0,2.9314239975064997,EPL,25.0,1067.0,0.0,0.8431022940203547,0.0,1.0524154882878065,15.0,18.0,Bournemouth,0.0,0.8431022940203547,EPL
188,495,Nacho Monreal,22.0,1857.0,1.0,1.2284543607383966,3.0,2.008963174186647,7.0,11.0,Arsenal,1.0,1.2284543607383966,EPL,28.0,2246.0,5.0,1.9025151077657936,2.0,3.0137278269976377,21.0,13.0,Arsenal,5.0,1.9025151077657936,EPL,36.0,3152.0,0.0,1.1331033604219556,2.0,1.9305520709604025,12.0,12.0,Arsenal,0.0,1.1331033604219556,EPL
189,498,Alexis Sánchez,20.0,875.0,1.0,1.7134789302945137,3.0,3.5468507930636406,17.0,21.0,Manchester United,1.0,1.7134789302945137,EPL,31.0,2562.0,9.0,11.422602553851902,6.0,7.917655121535063,88.0,77.0,"Arsenal,Manchester United",8.0,9.900264878757296,EPL,38.0,3233.0,24.0,17.724449135363102,10.0,8.988117071799934,129.0,78.0,Arsenal,22.0,15.44094256311655,EPL
190,501,Danny Welbeck,8.0,137.0,1.0,0.7929711341857909,1.0,0.28166940808296204,4.0,5.0,Arsenal,1.0,0.7929711341857909,EPL,28.0,1169.0,5.0,5.722649244591594,2.0,1.3699026852846146,32.0,13.0,Arsenal,5.0,5.722649244591594,EPL,16.0,743.0,2.0,3.465457946062088,2.0,1.1594115719199178,19.0,5.0,Arsenal,2.0,3.465457946062088,EPL
191,510,Joel Ward,7.0,550.0,1.0,0.9176617264747621,0.0,0.1186030199751258,2.0,2.0,Crystal Palace,1.0,0.9176617264747621,EPL,19.0,1621.0,0.0,0.19896103255450728,1.0,0.8787016943097115,5.0,8.0,Crystal Palace,0.0,0.19896103255450728,EPL,38.0,3420.0,0.0,0.9386277562007308,1.0,0.8645513318479061,14.0,11.0,Crystal Palace,0.0,0.9386277562007308,EPL
192,528,Angelo Ogbonna,24.0,1870.0,1.0,1.0196454003453257,1.0,1.1602911613881588,14.0,4.0,West Ham,1.0,1.0196454003453257,EPL,32.0,2880.0,1.0,0.7748626321554184,0.0,0.4505204763263464,9.0,6.0,West Ham,1.0,0.7748626321554184,EPL,20.0,1757.0,0.0,0.07018128596246243,0.0,0.2699175607413053,3.0,6.0,West Ham,0.0,0.07018128596246243,EPL
193,530,James Tomkins,29.0,2566.0,1.0,0.9024495468474923,1.0,1.3705310272052884,22.0,7.0,Crystal Palace,1.0,0.9024495468474923,EPL,28.0,2386.0,3.0,2.7092991154640917,0.0,0.07209452241659164,22.0,1.0,Crystal Palace,3.0,2.7092991154640917,EPL,24.0,1984.0,3.0,4.003373719751835,0.0,0.10124174878001213,14.0,2.0,Crystal Palace,3.0,4.003373719751835,EPL
194,535,Manuel Lanzini,10.0,693.0,1.0,1.1839074268937109,1.0,0.9580360632389784,11.0,5.0,West Ham,1.0,1.1839074268937109,EPL,27.0,2054.0,5.0,3.833089454099536,6.0,3.734414921142161,44.0,41.0,West Ham,5.0,3.071920631453395,EPL,35.0,2727.0,8.0,6.071730084717274,2.0,4.0067572221159935,69.0,57.0,West Ham,6.0,4.549392390996218,EPL
